company_name,ticker,index
"RAYMOND JAMES FINANCIAL, INC.",RJF,MSCI World
"BLOCK, INC.",XYZ,MSCI World
NUTRIEN LTD.,NTR,MSCI World
"DAI-ICHI LIFE HOLDINGS, INC.",QHH.F,MSCI World
TALANX AG,TLX.DE,MSCI World
FRESENIUS SE & CO. KGAA,FRE.DE,MSCI World
"NRG ENERGY, INC",NRG,MSCI World
PARTNERS GROUP HOLDING AG,0QOQ.L,MSCI World
ADIDAS AG,ADS.DE,MSCI World
FAIR ISAAC CORPORATION,FICO,MSCI World
"OTSUKA HOLDINGS CO., LTD.",4578.T,MSCI World
SIKA AG,SIKA.F,MSCI World
DOLLAR GENERAL CORPORATION,DG,MSCI World
ARCHER-DANIELS-MIDLAND COMPANY,ADM,MSCI World
"FISERV, INC.",FISV,MSCI World
SWISS LIFE HOLDING AG,SLHNE.SW,MSCI World
CK HUTCHISON HOLDINGS LIMITED,0001.HK,MSCI World
HEWLETT PACKARD ENTERPRISE COMPANY,HPE,MSCI World
LPL FINANCIAL HOLDINGS INC.,LPLA,MSCI World
ORSTED A/S,D2G.DE,MSCI World
EXPERIAN PLC,EXPGY,MSCI World
ELBIT SYSTEMS LTD.,ESLT,MSCI World
"ROLLINS, INC.",ROL,MSCI World
DASSAULT AVIATION,AM.PA,MSCI World
"ULTA BEAUTY, INC.",ULTA,MSCI World
DOVER CORPORATION,DOV,MSCI World
ABN AMRO BANK N.V.,ABN.AS,MSCI World
TELEDYNE TECHNOLOGIES INCORPORATED,TDY,MSCI World
"RESONA HOLDINGS, INC.",8308.T,MSCI World
POWER CORPORATION OF CANADA,POW.TO,MSCI World
"ACS, ACTIVIDADES DE CONSTRUCCIÓN Y SERVICIOS, S.A.",OCI1.MU,MSCI World
TRANSURBAN GROUP,TCL.AX,MSCI World
VEEVA SYSTEMS INC.,VEEV,MSCI World
"STEEL DYNAMICS, INC.",STLD,MSCI World
KUEHNE UND NAGEL INTERNATIONAL AG,0QMW.IL,MSCI World
HALLIBURTON COMPANY,HAL,MSCI World
"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",8830.T,MSCI World
SAMPO OYJ,SAMPO.HE,MSCI World
"MONGODB, INC.",MDB,MSCI World
MTR CORPORATION LIMITED,MRI.F,MSCI World
"CITIZENS FINANCIAL GROUP, INC.",CFG,MSCI World
CENTRAL JAPAN RAILWAY COMPANY,9022.T,MSCI World
"ORIENTAL LAND CO., LTD.",4661.T,MSCI World
STMICROELECTRONICS N.V.,STM,MSCI World
NORTHERN TRUST CORPORATION,NTRS,MSCI World
ASTELLAS PHARMA INC.,4503.T,MSCI World
ASHTEAD GROUP PLC,AHT.L,MSCI World
TRACTOR SUPPLY COMPANY,TSCO,MSCI World
EAST JAPAN RAILWAY COMPANY,9020.T,MSCI World
NOVONESIS A/S,NZM2.F,MSCI World
GEORGE WESTON LIMITED,WN.TO,MSCI World
"ZOOM COMMUNICATIONS, INC.",ZM,MSCI World
AMEREN CORPORATION,AEE,MSCI World
JABIL INC.,JBL,MSCI World
NORTHERN STAR RESOURCES LIMITED,NST.AX,MSCI World
DTE ENERGY COMPANY,DTE,MSCI World
SUZUKI MOTOR CORPORATION,7269.T,MSCI World
PHILIPS NV,PHG.BA,MSCI World
VEOLIA ENVIRONNEMENT,VIE.PA,MSCI World
INPEX CORPORATION,1605.T,MSCI World
TDK CORPORATION,6762.T,MSCI World
WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,WTW,MSCI World
"DEXCOM, INC.",DXCM,MSCI World
"ZSCALER, INC.",ZS,MSCI World
FORTIS INC.,FTS,MSCI World
"AJINOMOTO CO., INC.",AJI.SG,MSCI World
FLUTTER ENTERTAINMENT PLC,FLUT,MSCI World
"AMADEUS IT GROUP, S.A.",AI3A.F,MSCI World
DEVON ENERGY CORPORATION,DVN,MSCI World
BT GROUP PLC,BTC-USD,MSCI World
HUBBELL INCORPORATED,HUBB,MSCI World
MICHELIN (CGDE),ML.PA,MSCI World
AVIVA PLC,AV.L,MSCI World
REGIONS FINANCIAL CORPORATION,RF,MSCI World
BEIERSDORF,BEI.DE,MSCI World
"NOMURA HOLDINGS, INC.",NMR,MSCI World
PPL CORPORATION,PPL,MSCI World
CINCINNATI FINANCIAL CORPORATION,CINF,MSCI World
"CENTERPOINT ENERGY, INC.",CNP,MSCI World
SOUTHWEST AIRLINES CO.,LUV,MSCI World
"FIDELITY NATIONAL INFORMATION SERVICES, INC.",FIS,MSCI World
ON SEMICONDUCTOR CORPORATION,ON,MSCI World
"WILLIAMS-SONOMA, INC.",WSM,MSCI World
VESTAS WIND SYSTEMS A/S,VWS.CO,MSCI World
TEXAS PACIFIC LAND CORPORATION,TPL,MSCI World
SYNCHRONY FINANCIAL,SYF,MSCI World
"GENERAL MILLS, INC.",GIS,MSCI World
